match_id,distance_to_goal,shot_angle_rad,keeper_pressure_ratio,nearest_defender_distance,blocker_count,defenders_count,under_pressure,is_goal,body_part_Left Foot,body_part_Other,body_part_Right Foot,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Regular Play,active_shot_type
267327,28.442925306655784,0.275299167926217,0.7806212859568966,2.507987240796891,1,9,0,0,0,0,1,0,1,0,0,0,0,0,1
267327,13.86001443000692,0.5567084754056575,0.9775193028817936,1.216552506059646,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1
267327,30.654363474063523,0.2542064100236067,0.9614187992472928,8.73670418407308,3,10,0,0,1,0,0,0,1,0,0,0,0,0,1
267327,30.096013024983897,0.2542204612738333,0.9143764080725904,2.5079872407968944,0,6,1,0,1,0,0,0,0,0,0,0,0,1,1
267327,23.138928237928393,0.3335953833695107,0.950199015013609,1.769180601295413,3,9,0,0,1,0,0,0,0,0,0,0,0,0,1
267327,10.983624174196782,0.6902093216548212,0.9116291127741004,2.5079872407968877,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1
267327,7.907591289387687,0.9238754536183662,0.96814776307971,2.1587033144922847,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1
267327,15.543809056984712,0.1960228361522883,0.2059702423633274,2.72946881279124,0,5,0,0,0,0,1,0,1,0,0,0,0,0,1
267327,14.681961721786358,0.4352766253615149,0.6148484342846838,2.5495097567963936,0,4,1,1,1,0,0,0,0,0,0,1,0,0,1
267327,26.554848898082632,0.2325265696154305,0.8857616574265833,3.4132096331752058,0,7,0,0,0,0,1,0,0,0,0,0,0,1,1
267327,19.94216638181519,0.3329554226700407,0.9081784800221524,3.0083217912982603,2,5,0,0,0,0,1,0,0,0,0,0,0,1,1
267327,12.660568707605512,0.5985156597640012,0.9047189834166166,4.002499219237891,2,5,0,0,1,0,0,0,1,0,0,0,0,0,1
267327,10.18331969448077,0.6480465320343438,0.616394468494601,3.101612483854173,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1
267327,14.144963768069545,0.417256158515404,0.5454640112830157,2.785677655436822,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1
267327,28.058866691297432,0.242994780978025,0.9138490195234288,5.412023651093926,1,8,0,0,1,0,0,0,0,0,0,0,0,1,1
267327,12.753430910935291,0.5641880673198932,0.915286714337967,3.905124837953327,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1
267327,11.469088891450795,0.5319509807025581,0.7551455438910885,2.4413111231467437,1,5,0,0,0,0,1,0,1,0,0,0,0,0,1
267327,29.82230708714536,0.2545008282046464,0.9660285448501778,9.49210198006744,1,9,0,0,1,0,0,0,1,0,0,0,0,0,1
267327,31.400636936215168,0.2534021664463286,0.9649695998322464,8.96771988857815,3,9,0,0,1,0,0,0,1,0,0,0,0,0,1
267327,18.027756377319943,0.2533371310834417,0.7189950251245457,4.215447781671595,1,8,0,0,0,0,1,0,0,0,0,0,0,1,1
267327,13.74117898871854,0.3587326223809801,0.4019073263748133,3.785498646149545,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1
267327,23.889118861942148,0.3293623339969108,0.9627632289913568,11.05486318323298,4,9,0,0,1,0,0,0,1,0,0,0,0,0,1
267327,19.231484602078964,0.2733283877933184,0.8105362678519157,0.8000000000000043,0,4,0,0,0,0,1,0,1,0,0,0,0,0,1
267327,9.879271228182777,0.4714599500609074,0.8647230201858532,2.102379604162865,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
267327,6.350590523722972,1.0806682821598714,0.8780035058080677,2.202271554554527,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1
267327,8.236504112789602,0.8379812250083898,0.6352926082626867,2.4041630560342595,0,6,0,1,0,0,1,0,1,0,0,0,0,0,1
267327,29.493219559756437,0.2661777236549396,0.9395905347824788,1.5556349186103966,1,6,0,0,0,0,1,0,0,0,0,1,0,0,1
267327,21.925783908448977,0.3544673561950194,0.9225532760531864,1.9104973174542772,1,8,0,0,0,0,1,0,0,0,0,0,0,1,1
267576,29.313819266687176,0.2139179101167143,0.9327559961747016,3.3015148038438467,1,8,1,0,1,0,0,0,1,0,0,0,0,0,1
267576,14.808443537387712,0.5273921324516154,0.9299658691871828,1.6492422502470634,0,6,0,1,0,0,1,0,0,0,0,0,1,0,1
267576,26.38560213449751,0.2707496954378843,0.9312552959926066,2.080865204668485,0,7,0,0,0,0,1,0,1,0,0,0,0,0,1
267576,16.883423823383687,0.3765912467683225,0.8205610703006612,5.866856057549046,2,8,0,0,0,0,1,0,0,0,0,0,0,0,1
267576,26.867266329122504,0.2948910876875339,0.960860423444585,3.482814953453599,1,8,0,0,0,0,1,0,0,0,0,0,1,0,1
267576,30.768815381811496,0.2329295870550651,0.941862490936814,9.740636529508729,4,10,0,0,1,0,0,0,1,0,0,0,0,0,1
267576,15.492256130079952,0.2650315744894873,0.773638629121922,1.486606874731856,1,8,0,0,1,0,0,0,0,0,0,0,0,1,1
267576,10.454664030948097,0.7137233366955438,0.8700043642296236,1.5652475842498528,1,10,0,1,1,0,0,0,0,0,0,0,0,1,1
267576,18.23321145602168,0.3379199998220621,0.8797961179752904,2.267156809750929,1,6,0,0,1,0,0,0,0,0,0,0,0,1,1
267576,11.049434374663711,0.3406035203478446,0.6847746878845156,0.7615773105863923,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1
267576,25.46153962351845,0.2502224866819125,0.9044580663097044,1.1999999999999993,2,9,0,0,1,0,0,0,0,0,0,0,1,0,1
267576,5.445181356024799,1.264751287229393,0.6981063280002058,1.3999999999999986,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1
267576,11.1610931364271,0.67666994784974,0.8892244244649962,0.8944271909999255,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1
267576,24.10808992848666,0.0819111481602161,0.9769011499880126,9.613532129243652,1,8,0,0,1,0,0,0,1,0,0,0,0,0,1
267576,19.34993540040896,0.3250781343759825,0.6957024672762054,3.4669871646719375,0,8,0,0,0,0,1,0,0,0,0,0,0,1,1
267576,26.740605827093745,0.2412525665797431,0.8474452848145079,3.801315561749635,2,8,0,0,0,0,1,0,0,0,0,0,0,1,1
